Afghanistan,AFG,2020-06-01,15094
Albania,ALB,2020-06-01,1122
Algeria,DZA,2020-06-01,9394
Andorra,AND,2020-06-01,764
Angola,AGO,2020-06-01,86
Anguilla,AIA,2020-06-01,3
Antigua and Barbuda,ATG,2020-06-01,25
Argentina,ARG,2020-06-01,23404
Armenia,ARM,2020-06-01,9492
Aruba,ABW,2020-06-01,101
Australia,AUS,2020-06-01,7195
Austria,AUT,2020-06-01,13428
Azerbaijan,AZE,2020-06-01,5246
Bahamas,BHS,2020-06-01,101
Bahrain,BHR,2020-06-01,11398
Bangladesh,BGD,2020-06-01,49534
Barbados,BRB,2020-06-01,92
Belarus,BLR,2020-06-01,42556
Belgium,BEL,2020-06-01,58915
Belize,BLZ,2020-06-01,18
Benin,BEN,2020-06-01,243
Bermuda,BMU,2020-06-01,140
Bhutan,BTN,2020-06-01,47
Bolivia,BOL,2020-06-01,9592
Bonaire Sint Eustatius and Saba,BES,2020-06-01,7
Bosnia and Herzegovina,BIH,2020-06-01,2510
Botswana,BWA,2020-06-01,38
Brazil,BRA,2020-06-01,498440
British Virgin Islands,VGB,2020-06-01,8
Brunei,BRN,2020-06-01,141
Bulgaria,BGR,2020-06-01,2513
Burkina Faso,BFA,2020-06-01,883
Burundi,BDI,2020-06-01,63
Cambodia,KHM,2020-06-01,125
Cameroon,CMR,2020-06-01,5904
Canada,CAN,2020-06-01,90179
Cape Verde,CPV,2020-06-01,435
Cayman Islands,CYM,2020-06-01,141
Central African Republic,CAF,2020-06-01,1164
Chad,TCD,2020-06-01,790
Chile,CHL,2020-06-01,99688
China,CHN,2020-06-01,84588
Colombia,COL,2020-06-01,28236
Comoros,COM,2020-06-01,62
Congo,COG,2020-06-01,611
Costa Rica,CRI,2020-06-01,1047
Cote d'Ivoire,CIV,2020-06-01,2833
Croatia,HRV,2020-06-01,2246
Cuba,CUB,2020-06-01,2045
Curacao,CUW,2020-06-01,20
Cyprus,CYP,2020-06-01,944
Czechia,CZE,2020-06-01,9357
Democratic Republic of Congo,COD,2020-06-01,3194
Denmark,DNK,2020-06-01,11669
Djibouti,DJI,2020-06-01,3354
Dominica,DMA,2020-06-01,16
Dominican Republic,DOM,2020-06-01,17285
East Timor,TLS,2020-06-01,24
Ecuador,ECU,2020-06-01,39098
Egypt,EGY,2020-06-01,24985
El Salvador,SLV,2020-06-01,2517
Equatorial Guinea,GNQ,2020-06-01,1774
Eritrea,ERI,2020-06-01,39
Estonia,EST,2020-06-01,7112
Eswatini,SWZ,2020-06-01,285
Ethiopia,ETH,2020-06-01,1172
Falkland Islands,FLK,2020-06-01,13
Faroe Islands,FRO,2020-06-01,187
Fiji,FJI,2020-06-01,18
Finland,FIN,2020-06-01,6603
France,FRA,2020-06-01,8469
French Guiana,GUF,2020-06-01,477
French Polynesia,PYF,2020-06-01,60
Gabon,GAB,2020-06-01,2803
Gambia,GMB,2020-06-01,25
Georgia,GEO,2020-06-01,794
Germany,DEU,2020-06-01,182082
Ghana,GHA,2020-06-01,7881
Gibraltar,GIB,2020-06-01,161
Greece,GRC,2020-06-01,2978
Greenland,GRL,2020-06-01,13
Grenada,GRD,2020-06-01,23
Guadeloupe,GLP,2020-06-01,162
Guam,GUM,2020-06-01,166
Guatemala,GTM,2020-06-01,4739
Guernsey,GGY,2020-06-01,252
Guinea,GIN,2020-06-01,3771
Guinea-Bissau,GNB,2020-06-01,1322
Guyana,GUY,2020-06-01,152
Haiti,HTI,2020-06-01,1865
Honduras,HND,2020-06-01,5094
Hungary,HUN,2020-06-01,3876
Iceland,ISL,2020-06-01,1820
India,IND,2020-06-01,190535
Indonesia,IDN,2020-06-01,26940
Iran,IRN,2020-06-01,151466
Iraq,IRQ,2020-06-01,6439
Ireland,IRL,2020-06-01,24929
Isle of Man,IMN,2020-06-01,338
Israel,ISR,2020-06-01,17057
Italy,ITA,2020-06-01,233019
